"","D0N","D1N","J1N","D0S","D1S","J1S","D0L","D1L","J1L"
"CRUK0594",2.90509637298512,2.89285133631129,0.996102233070537,3.11845508469209,3.09650420255155,0.995287056099656,2.95483934011986,2.93780134354643,0.993944079834133
"CRUK0542",1.73566576088502,1.7219707858925,0.988571513773044,2.69610876683631,2.66761412584302,0.988735389422071,1.75444684385142,1.73975323813896,0.987866454953942
"CRUK0575",1.97429991241378,1.81636968402381,0.879716699188783,2.02805684462067,1.8683204835641,0.899160192832766,1.98765294774376,1.8234455273231,0.875601223494846
"CRUK0598",2.01227763933637,1.92572610977414,0.936846943847924,2.11038704384832,2.01361161209161,0.937801772390206,2.04117658883893,1.95354112366193,0.937681630986575
"CRUK0535",3.97200838805748,3.83228898544397,0.974115791770137,4.01799135242078,3.87340528973067,0.973887503146548,3.98607141988178,3.84480960782025,0.973891931642086
"CRUK0590",1.9940678258151,1.54169629077034,0.629126996263817,2.10206349295605,1.60577839925004,0.635394420841107,2.0079251751191,1.54925400546085,0.627539469614462
"CRUK0527",1.01647375106388,1.01570466670672,0.999423090075663,1.05178869192364,1.04044381612987,0.992644930075587,1.01789294871852,1.01703520910759,0.999341171043011
"CRUK0505",1.62126146768958,1.59477093683643,0.976232439814097,3.72338914672611,3.33842990138887,0.933512116651518,1.75759888924422,1.70743696382093,0.958226454090916
"CRUK0586_Tumour2",2.74271665051363,2.17231106450494,0.787272570739947,4.24903246129438,3.2636925976122,0.800162296131493,2.86858633769442,2.26620244272899,0.786685049312396
"CRUK0570",1.95973639156952,1.95246171022063,0.994634648589166,2.14691752169229,2.10326537311062,0.986246497948967,1.968783512197,1.95978054850766,0.993387632934195
"CRUK0543",2.90832865600292,2.48927135970357,0.85285000700189,3.53269307991007,2.91490225776877,0.855599462275618,2.97008248392009,2.52940009392012,0.854185870522911
"CRUK0524",3.76631327991512,3.76394609740103,0.999388124153363,3.96298911682903,3.95195192740802,0.998519567381757,3.85897127749745,3.85544360199487,0.999081981323757
"CRUK0567",2.00428265773493,1.85774843923546,0.890622985354654,2.07812720893158,1.9171219935448,0.889943323262972,2.02345712848321,1.87524937331483,0.890841383114405
"CRUK0610",1.01143416815746,1.01094596127051,0.999601631197988,1.12360277347231,1.09516760636351,0.984114110871826,1.01391430249073,1.01332309936538,0.999498678225092
"CRUK0620_Tumour1",1.95989940096805,1.83752570651813,0.911971750021086,3.43697621287802,3.03108426161706,0.907208100705881,2.20984826034824,2.05028483165972,0.90551891836435
"CRUK0625",2.89310168599327,2.46870235104136,0.855497920379243,2.97592362933467,2.53665837136668,0.856092399669202,2.91206567241844,2.48407678305876,0.855028926108224
"CRUK0691",1.79096391126244,1.74434950727334,0.976080869200964,5.48303362221218,5.06059161314375,0.96080021249724,2.38205184315828,2.29118498660087,0.965556160138559
"CRUK0674",1.07046494506336,1.05359656224518,0.982253432754388,1.49727281343793,1.32793245703124,0.914175803626192,1.09809680546212,1.07405279021825,0.977123199345276
"CRUK0693",2.98763945965367,2.52118003508928,0.845551618616518,3.07076711502404,2.58128328531567,0.845078070304397,2.9955534686783,2.52707729366004,0.845183119329009
"CRUK0642",1.00280967270506,1.00277430308604,0.999949114497738,1.47714272045147,1.31094541900162,0.830948839752687,1.00280967270506,1.00277430308604,0.999949114497738
"CRUK0609",1.99515236076038,1.88556251308953,0.918666697317429,2.09567536338279,1.97458104055677,0.919549029379409,2.02053770620549,1.90951324302155,0.91932383857767
"CRUK0650",1.88019204753112,1.75185864432078,0.904654197499185,2.91983857438702,2.58244485551337,0.914343517295434,2.17482932510475,1.99577363119785,0.889983734747662
"CRUK0680",1.90894732070163,1.58788948017836,0.73438976308993,2.29226422864759,1.86984003444586,0.74619490750643,1.913685265022,1.59100042071838,0.733703316108492
"CRUK0617",1.96195541306553,1.8872390225045,0.943984899068547,2.21878552637572,2.06911934276757,0.938151881817742,1.98549570527337,1.89455455074791,0.932359440357533
"CRUK0616",1.14520871424255,1.1125576079581,0.958269487007509,2.51670094090887,2.25119212427006,0.922585420975396,1.18027848462048,1.13492064273333,0.943464122115173
"CRUK0698",4.98587297321001,4.46915309906691,0.931989886482292,4.99344379325471,4.47541324043308,0.931953688993924,4.98587297321001,4.46915309906691,0.931989886482292
"CRUK0784",1.93073151053095,1.84707949206636,0.945024156431704,3.21614879022477,2.96138478580326,0.95576206186968,2.22053377271154,2.07213897477947,0.928665918905566
"CRUK0710",1.89297341380319,1.89255758720152,0.999683050553089,2.31928990272474,2.29117607583831,0.992151354717678,1.96428413856905,1.96322569028479,0.99922239882559
"CRUK0799",1.60329154612858,1.55706232389804,0.963664791313788,5.68240342995064,5.18742128931241,0.959472783011151,2.12594734223455,2.02218212838299,0.943052532429467
"CRUK0749",1.98717624051915,1.73618519429139,0.805201015131719,2.26234135679609,1.90855145853232,0.803358353376509,2.03243538570403,1.76343973807691,0.802682868995948
"CRUK0766",1.96404665738375,1.92321077726813,0.969687683394077,2.08404841668549,2.03170775112716,0.967954510470727,1.99987067992014,1.95540398343475,0.967559984622291
"CRUK0769",5.96229513390302,5.48428885321166,0.953359775316258,6.05099730626643,5.55434908829113,0.952751162074118,5.98776237367288,5.50605266253813,0.953159699761098
"CRUK0756",1.97257435293841,1.5551715887096,0.656994086555757,1.97257435293841,1.5551715887096,0.656994086555757,1.97257435293841,1.5551715887096,0.656994086555757
"CRUK0793",3.20693381161902,2.95796969125314,0.947257823596131,3.75855037362833,3.17865994442098,0.901452934000698,3.30279623690852,2.99170426053433,0.936360720435764
"CRUK0714",1.02042606288524,1.01761045896161,0.997684348913325,1.12170447753374,1.06446254381714,0.970120070851846,1.02563615225951,1.02226295889183,0.997442676744856
"CRUK0738",1.9337457894222,1.76053053761396,0.864612101632664,2.41925840207035,2.12764392015745,0.893498435310335,1.98431230440603,1.78627496508031,0.848315070013765
"CRUK0722",1.00225237163481,1.00205993902963,0.999740831323571,1.01780497541038,1.01141130015162,0.992784794383184,1.00246108137616,1.00222814319217,0.999697224479881
"CRUK0771",1.99338613592346,1.58601194886003,0.670182440609943,2.00379086520202,1.59313276811412,0.670585734317337,1.99375574019334,1.58621317222249,0.670097996278729
"CRUK0719",1.99429461623844,1.60651713428402,0.688057813769455,2.01009790595348,1.61831908962083,0.688417761308069,2,1.60979599671167,0.686877872699962
"CRUK0788",1.97076929323196,1.90402946017082,0.957919247997223,2.83262560915496,2.52633724515541,0.936441553691059,2.16695526380086,2.0614325868447,0.955417948151348
"CRUK0313",1.66185357414901,1.66028135934559,0.998634476494873,3.09278508312572,3.02298824751412,0.984567562590658,1.76463279772745,1.76176079767995,0.9976500517994
"CRUK0359",1,1,1,1,1,1,1,1,1
"CRUK0424",1.99553298400529,1.78843223121772,0.841921326314414,2.00169970175895,1.7933558296581,0.842029808691236,1.99570873884945,1.78852928476368,0.841872556957268
"CRUK0486",1.9554152641328,1.87862409759177,0.94220140049665,2.31077560955327,2.1758003343394,0.933350350504438,1.9738602921061,1.895726183711,0.942589174231079
"CRUK0541",1.00251513647997,1.00249331624551,0.999968598701187,1.04800484246077,1.02685050171442,0.979813730075625,1.00251513656229,1.00249331632716,0.999968598700577
"CRUK0686",1.8701921733718,1.86255676291219,0.994097870305826,2.41662083840747,2.33181032428761,0.976576770089083,1.93495985267909,1.92291686996843,0.990992761500725
"CRUK0729",1.82260883092192,1.80490135873674,0.985915030482873,2.50739078642049,2.45196423082193,0.986656660430584,1.84408672203393,1.82111623451524,0.98191650355446
"CRUK0741",1.94202948853647,1.83063438549172,0.914778577316446,2.16046883004681,2.00590661990902,0.914410150588345,1.94993685609032,1.83539204993589,0.912660857059647
"CRUK0051",1.05173504154019,1.04677445631281,0.993179325569102,1.28183638612905,1.25417480171724,0.986563884696396,1.05576879571226,1.05063996551318,0.992974438150307
"CRUK0003",2.13202573586493,1.61577903831392,0.614642354930924,5.38434758751474,3.00299662357271,0.622492494264391,2.32166921303272,1.75928835570302,0.618353594290792
"CRUK0018",1.95823800397705,1.72539391827278,0.817369655284095,2.41790957117475,2.08910103347168,0.838572239336293,2.03545811229727,1.78321998187515,0.810243302463096
"CRUK0062",2.02474376505778,1.9358677736575,0.95318918120844,12.6682302724959,9.05558578584113,0.857704965781025,3.45110763618577,3.11182201885376,0.924180743306527
"CRUK0146",1.98753853356207,1.87999526008026,0.919746193493204,2.03407129723406,1.91883936177796,0.918953951329294,2.00098453231813,1.89264733894514,0.919695600406772
"CRUK0096",1.99757398987497,1.79302215637007,0.844193582655136,2.02995891442063,1.81146999866588,0.841176802836104,1.99814868334127,1.79342622903056,0.844103672038367
"CRUK0030_Tumour2",1.98677260226587,1.95702131524553,0.978232712261045,2.00361425488446,1.96870096624707,0.977230195051381,1.99074755047449,1.96002059617811,0.977558532017483
"CRUK0193",2.06293154119733,1.94613751222441,0.92773357449719,4.03436080380664,3.50809859480629,0.92131086272268,2.38408433670921,2.22006198107077,0.930845031671192
"CRUK0025",1.98118832867635,1.87420788052122,0.919914953423379,2.22095293001306,2.01782155249733,0.897621987487419,1.99959101374788,1.8898223456168,0.919059371070513
"CRUK0290",1.92306691576393,1.43694678852829,0.579687038474727,2.13329191334122,1.58585991969683,0.590968292004662,1.98212912264783,1.46300053221121,0.561969555939229
"CRUK0271",3.91185772687337,3.70981006716253,0.961684178970071,4.02677369168515,3.82281647308337,0.964502992276403,3.99825794221666,3.78445237329316,0.96037011608864
"CRUK0267",1.04280695263442,1.03345450149688,0.987002767780127,1.35272347591871,1.25750250350634,0.941760610872629,1.05819241393512,1.0476161434352,0.985508216076066
"CRUK0249",1.01670155164443,1.01515216696874,0.998611798704545,1.05905794210595,1.04535857917018,0.990219571819702,1.01810729594628,1.0164686923332,0.998533825607345
"CRUK0213",1.98126396191215,1.97989568535105,0.999003319197636,1.99265460477387,1.99010240848273,0.998833416405519,1.98705973384035,1.98507023827668,0.998554812836572
"CRUK0212",1.9171344834349,1.86717663425202,0.961906869520587,2.02406432337645,1.959826672264,0.968047471059578,1.95865046011363,1.89818716372695,0.954762293119458
"CRUK0380",2.02183303505104,1.59751506156647,0.662692231036159,2.84022411592196,1.98776598446625,0.64766674930016,2.12793367945831,1.67857667699724,0.667869941468207
"CRUK0329",1.92258300417446,1.79086932077452,0.897614182738657,2.14778308781915,1.99597412145052,0.90020246961167,1.98851637016989,1.84652926062957,0.893123685114237
"CRUK0375",1.90793293298524,1.87950457097861,0.978341964932182,2.39755042604358,2.33606418990183,0.97448466661082,1.99733238649062,1.96566763605028,0.977595105660363
"CRUK0367",1.95168547659774,1.8500356921429,0.922832529999518,2.10772144788547,1.95583259012953,0.910967220548842,1.95168547659774,1.8500356921429,0.922832529999518
"CRUK0394",3.91348628068541,3.52851707574209,0.924025994103692,4.32799327990346,3.8045151619328,0.916118833613134,4.05210045807263,3.64920434120971,0.925135016958634
"CRUK0334",1,1,1,1.01948221838592,1.01937479551859,0.999847975263903,1,1,1
"CRUK0468",3.37055233719769,3.322807899567,0.989288793698563,6.05071883729159,5.63385538428653,0.966211434444785,3.83695984460341,3.76170803708347,0.986341620108576
"CRUK0410",2.4210976406114,2.02958065286934,0.82610514074884,5.52631816526764,4.51182479631852,0.877576548579691,2.79494841757977,2.29336827136703,0.810592360060184
"CRUK0412",1.96373330571095,1.89529172622867,0.949553758272646,2.26938029487973,2.12980472156535,0.936740584010553,1.97163723772754,1.90282537802105,0.949501718158928
